NAME,TYPE,DECADE,MEDIA URL,DATE,DIMSENSIONS (CM)
William Dunlap self-portrait,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_40,1805,6.4 × 4.8
Portrait of a Baby Boy,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.59.2_1,1805,5.5 x 4.4
Portrait of a Gentleman,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.59.1_1,1805,5.3 x 4.3
Portrait of a Gentleman,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1979.152_1,1805,7.3 x 5.7
Miriam Etting Myers,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1959.5.1_1,1805,7.7 x 5.7
A. Laurason,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1958.5.4_1,1805,6.5 x 6.5
David McClellan,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.7.1_1,1805,7.6 x 6.2
Member of the Mayfield Family,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1953.7.4_1,1805,7.3 x 5.8
Portrait of a Gentleman,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.6_1,1805,6.2 x 4.7
Elizabeth Du Hamel?,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.40_1,1805,7.0 x 5.7
Mary Thayer Holden,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.3_1,1805,7.0 x 5.9
Mrs. Abraham Van Santvoort of New York,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.18_1,1805,8.0 x 6.4
Isaac Praul,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.15_1,1805,6.0 x 4.9
Portrait of a Gentleman with Initials G. D.,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1942.7.2_1,1805,6.4 x 5.2
Portrait of Martha Washington by John Trumbull,Miniature,1790-1799,"https://ids.si.edu/ids/iiif/NMAH-89-6826/full/250,/0/default.jpg",1793,9.5 x 7.5
George Washington,Miniature,1790-1799,"https://ids.si.edu/ids/iiif/NMAH-89-6827/full/250,/0/default.jpg",1793,9.2 x 8.2
Portrait of a Gentleman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-2012.21_1,1793,5.9 x 5.1
